Incubation	Treatment	Replicate	Day	Cl_mM	SO_mM	Al.uM	As.uM	Ba.uM	Ca.mM	Cu.uM	Fe.uM	K.mM	Li.uM	Mg.mM	Mn.uM	Mo.uM	P.uM	Si.uM	Sr.uM	Fe.fer.uM	Sulfide_uM	Sulfur.mmol.g.wet.sediment
5C	Bir.S	C	0	905.294	1.402	12.903	0.308	0.099	10.582	0.033	6.193	10.131	3.751	55.407	37.334	0.099	38.401	278.96	17.116	0.025	5.2	NA
5C	Bir.S	C	2	NA	NA	78.364	0.209	0.22	9.647	0.055	30.129	10.351	4.422	56.078	239.294	0.121	19.822	370.975	17.622	NA	8.24	NA
5C	Bir.S	C	6	1041.554	1.672	8.437	0.286	0.781	7.788	0.066	3.432	10.439	4.697	54.516	323.345	0.132	8.36	252.945	17.743	NA	18.041	NA
5C	Bir.S	C	10	1040.59	1.812	2.321	0.077	2.475	6.831	0	0.88	10.373	4.73	51.975	300.806	0.154	6.732	242.308	17.336	4.48	11.28	NA
5C	Bir.S	C	14	NA	NA	5.401	0.143	4.62	6.897	0	2.695	10.494	4.862	54.78	326.106	0.143	5.72	261.624	18.645	NA	36.964	NA
5C	Bir.S	C	20	1045.124	1.678	4.422	0.198	6.039	6.336	0	5.17	10.285	4.829	52.437	279.477	0.121	10.098	265.287	17.952	1.24	13.31	NA
6A	Bir.TS	A	0	950.738	1.52	10.637	0.209	0.165	10.681	0	5.434	10.087	3.641	56.155	17.38	0.088	38.038	268.576	17.292	1.24	10.95	171.6571355
6A	Bir.TS	A	2	NA	NA	40.92	0.022	0.154	8.998	0	18.018	10.087	4.378	52.393	200.497	0.121	17.127	273.141	16.17	NA	4.53	NA
6A	Bir.TS	A	6	1052.856	1.736	25.872	0.231	0.539	7.491	0	12.166	10.34	4.884	53.251	313.566	0.154	8.316	264.561	17.094	NA	24.8	NA
6A	Bir.TS	A	10	1039.36	1.834	1.672	0	2.112	7.117	0	0.462	10.769	4.895	55.847	321.442	0.154	7.095	243.936	18.436	4.075	12.97	NA
6A	Bir.TS	A	14	NA	NA	4.092	0.088	3.806	6.501	0	1.991	10.285	4.972	53.526	318.362	0.176	4.73	237.237	17.886	NA	12.297	NA
6A	Bir.TS	A	20	1046.11	1.902	5.753	0.132	5.885	6.072	0	4.488	10.439	4.928	51.887	298.606	0.132	7.238	254.76	17.765	1.645	12.3	78.93300418
6B	Bir.TS	B	0	939.798	1.522	13.013	0.143	0.099	10.802	0.088	7.04	10.362	4.059	56.672	13.497	0.132	28.523	258.698	17.424	1.645	13.65	NA
6B	Bir.TS	B	2	NA	NA	77.286	0	0.143	8.712	0.088	31.955	10.406	4.807	51.997	176.286	0.121	14.168	330.484	15.796	NA	6.55	NA
6B	Bir.TS	B	6	1047.084	1.696	19.91	0.044	0.275	7.37	0	10.241	10.56	5.28	53.999	299.09	0.143	6.831	245.751	16.852	NA	27.503	NA
6B	Bir.TS	B	10	1037.85	1.814	3.223	0.165	2.464	6.435	0	1.485	10.846	5.335	56.221	344.278	0.143	5.357	231.693	18.359	4.48	13.31	NA
6B	Bir.TS	B	14	NA	NA	2.53	0	3.993	5.753	0	2.002	10.494	5.269	52.338	306.548	0.143	4.422	216.161	17.38	NA	16.01	NA
6B	Bir.TS	B	20	1042.548	1.698	17.182	0.033	5.346	5.357	0	10.329	10.34	5.346	51.381	236.489	0.154	8.481	247.269	17.336	1.24	23.79	NA
6C	Bir.TS	C	0	938.266	1.504	12.441	0.418	0.11	10.538	0	5.456	10.109	3.784	55.242	19.173	0.11	30.591	250.338	16.885	1.645	11.62	NA
6C	Bir.TS	C	2	NA	NA	54.549	0.165	0.154	9.13	0.099	24.475	10.23	4.576	53.856	198.891	0.11	16.478	298.221	16.478	NA	5.2	NA
6C	Bir.TS	C	6	1041.442	1.708	20.823	0.132	0.484	7.557	0	10.78	10.395	4.807	54.131	314.16	0.154	7.678	248.787	17.215	NA	25.813	NA
6C	Bir.TS	C	10	1044.296	1.836	3.267	0.143	2.189	6.919	0	1.397	10.747	5.082	55.253	327.096	0.165	5.984	236.423	18.194	0.025	10.95	NA
6C	Bir.TS	C	14	NA	NA	4.444	0.176	3.883	6.501	0	2.332	10.417	5.082	54.516	325.809	0.22	4.422	232.342	18.139	NA	19.06	NA
6C	Bir.TS	C	20	1058.34	1.96	16.313	0.187	5.874	6.072	0	10.395	10.45	5.159	53.174	299.508	0.143	7.227	267.85	18.084	1.645	22.43	NA
7A	Bir.Ac	A	0	949.866	1.54	14.146	0.341	0.099	10.582	0	8.019	10.692	3.773	54.736	2.387	0.077	19.822	243.221	17.699	1.24	10.61	NA
7A	Bir.Ac	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.58	NA
7A	Bir.Ac	A	6	1090.934	1.786	14.311	0.209	0.176	10.263	0	6.622	10.747	4.202	53.746	286.374	0.132	11.946	216.612	16.555	NA	25.475	NA
7A	Bir.Ac	A	10	1063.86	1.778	2.64	0.077	0.572	10.747	0	0.902	10.857	4.323	56.001	441.287	0.132	9.284	189.255	18.161	0.43	10.27	NA
7A	Bir.Ac	A	14	NA	NA	6.809	0	0.979	10.384	0	3.19	10.56	4.378	53.911	493.581	0.154	7.766	165.737	17.864	NA	20.07	NA
7A	Bir.Ac	A	20	1103.672	1.386	22.748	0.165	2.013	10.846	0	12.782	10.802	4.565	56.859	597.729	0.143	6.094	197.219	19.668	1.645	35.61	NA
7B	Bir.Ac	B	0	953.608	1.546	6.666	0.165	0.187	10.879	0	3.08	10.549	3.729	56.617	1.694	0.077	17.699	226.699	18.326	1.24	4.19	NA
7B	Bir.Ac	B	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.9	NA
7B	Bir.Ac	B	6	1094.802	1.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.434	NA
7B	Bir.Ac	B	10	1074.582	1.776	2.574	0.044	0.55	11.165	0.011	0.836	10.736	4.29	58.388	448.69	0.165	9.383	185.592	18.744	0.43	11.28	NA
7B	Bir.Ac	B	14	NA	NA	5.126	0	0.935	10.428	0	2.024	10.56	4.4	54.538	494.252	0.132	7.326	158.906	18.128	NA	19.73	NA
7B	Bir.Ac	B	20	1102.212	1.382	14.3	0.033	1.815	10.527	0	7.051	10.791	4.543	54.824	564.146	0.132	6.028	172.007	18.854	0.835	24.46	NA
7C	Bir.Ac	C	0	934.852	1.518	4.697	0.176	0.11	10.373	0	2.189	10.604	3.63	54.164	2.684	0.077	24.442	239.393	17.457	1.645	2.84	NA
7C	Bir.Ac	C	2	NA	NA	34.419	0.264	0.099	10.439	0	13.31	10.549	3.916	54.351	88.429	0.11	18.865	265.496	16.665	NA	8.24	NA
7C	Bir.Ac	C	6	1094.476	1.804	11.616	0.132	0.187	11.044	0.022	4.675	10.857	4.125	57.695	316.371	0.143	14.443	234.014	17.952	NA	38.992	NA
7C	Bir.Ac	C	10	1086.252	1.836	2.695	0.022	0.583	10.659	0	1.023	10.758	4.147	55.385	439.362	0.121	11.22	191.961	17.941	0.025	8.58	NA
7C	Bir.Ac	C	14	NA	NA	5.632	0.242	1.045	10.604	0	1.353	10.604	4.202	54.945	511.522	0.132	9.141	165.176	18.304	NA	17.7	NA
7C	Bir.Ac	C	20	1080.92	1.366	12.694	0	2.057	10.329	0	6.424	10.835	4.433	54.164	585.398	0.132	6.699	170.478	18.832	0.835	26.15	NA
8A	Ac	A	0	929.768	1.476	7.161	0.583	4.785	11.143	0	4.741	10.417	4.026	57.838	7.766	0.121	48.565	218.526	20.999	1.645	6.55	NA
8A	Ac	A	2	NA	NA	19.976	0.616	4.884	11.154	0	9.966	10.395	3.916	57.783	8.206	0.132	56.1	247.852	21.01	NA	7.9	NA
8A	Ac	A	6	1094.996	1.708	11.946	0.242	5.258	11.308	0	5.929	10.472	3.564	58.047	8.998	0.055	76.23	310.123	21.472	3.339	29.868	NA
8A	Ac	A	10	1100.61	1.694	2.123	0.407	5.159	10.846	0	1.672	10.582	3.366	55.781	8.8	0.077	76.681	312.466	20.878	1.24	14.32	NA
8A	Ac	A	14	NA	NA	2.42	0.165	5.467	11.517	0	1.925	10.549	3.19	59.268	9.262	0.055	85.338	335.423	22.341	NA	25.48	NA
8A	Ac	A	20	1113.394	1.198	9.295	0.352	5.181	10.901	0	5.698	10.483	3.036	56.309	9.24	0.011	82.731	354.167	21.197	2.05	26.15	NA
8B	Ac	B	0	1101.58	1.716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.645	5.2	NA
8B	Ac	B	2	NA	NA	48.455	0.605	4.697	10.923	0.099	18.051	10.406	3.85	56.133	8.096	0.088	64.108	306.361	20.471	NA	9.93	NA
8B	Ac	B	6	1112.292	1.734	7.304	0.484	5.203	11.176	0.033	3.696	10.626	3.575	57.827	8.415	0.077	77.55	312.829	21.549	4.173	18.379	NA
