Incubation	Treatment	Replicate	Day	Cl_mM	SO_mM	Al.uM	As.uM	Ba.uM	Ca.mM	Cu.uM	Fe.uM	K.mM	Li.uM	Mg.mM	Mn.uM	Mo.uM	P.uM	Si.uM	Sr.uM	Fe.fer.uM	Sulfide_uM	Sulfur.mmol.g.wet.sediment
1B	Lep.HS	B	30	1059.54	1.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43	6.89	NA
1C	Lep.HS	C	30	1052.406	1.284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.86	9.26	NA
2B	Lep.S	B	30	1054.234	1.218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1	4.86	NA
2C	Lep.S	C	30	1051.37	1.226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.08	4.53	NA
3B	Lep.TS	B	30	1052.986	1.806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.05	8.58	NA
3C	Lep.TS	C	30	1054.716	1.896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.26	6.21	NA
1A	Lep.HS	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	44.06	NA
1B	Lep.HS	B	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	95.42	NA
1C	Lep.HS	C	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	42.71	NA
2A	Lep.S	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	17.37	NA
2B	Lep.S	B	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	15.34	NA
2C	Lep.S	C	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.455	21.76	NA
3A	Lep.TS	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.455	17.7	NA
3B	Lep.TS	B	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.455	21.76	NA
3C	Lep.TS	C	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.265	16.35	NA
9A	C	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.075	12.97	NA
9B	C	B	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.86	14.32	NA
1A	Lep.HS	A	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.835	16.69	NA
1B	Lep.HS	B	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43	15.676	NA
1C	Lep.HS	C	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.835	16.014	NA
2A	Lep.S	A	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43	9.256	NA
2B	Lep.S	B	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	13.987	NA
2C	Lep.S	C	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43	8.58	NA
3A	Lep.TS	A	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24	10.27	NA
3B	Lep.TS	B	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43	10.608	NA
3C	Lep.TS	C	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.835	8.58	NA
